Auction_key,Auction_class,Bid_class,Claim_price,Appraisal_date,Auction_count,Appraisal_company,Auction_miscarriage_count,Total_land_gross_area,Total_land_real_area,Total_land_auction_area,Total_building_area,Total_building_auction_area,Total_appraisal_price,Minimum_sales_price,First_auction_date,Final_auction_date,Final_result,Creditor,addr_etc,Apartment_usage,Preserve_regist_date,Total_floor,Current_floor,Share_auction_YorN,Specific,Close_date,Close_result,point.y,point.x,addr_en,Hammer_price
2687,random,individual,1766037301,2017-07-26 00:00:00,2,정명감정,1,12592.0,37.35,37.35,181.77,181.77,836000000,668800000,2018-02-13 00:00:00,2018-03-20 00:00:00,successful bid,Company or Group,해운대엑소디움 5 floor. 101-502 no.,Apartment & stores,2009-07-14 00:00:00,45,5,N,,2018-06-14 00:00:00,dividend,35.1627175,129.1370479,Jangsan-ro  Haeundae-gu  Busan,760000000
2577,random,general,152946867,2016-09-12 00:00:00,2,희감정,1,42478.1,18.76,18.76,118.38,118.38,1073000000,858400000,2016-12-29 00:00:00,2017-02-02 00:00:00,successful bid,Company or Group,해운대두산위브더제니스 103 building. 51 floor. 5103 no.,Apartment,2011-12-16 00:00:00,70,51,N,,2017-03-30 00:00:00,dividend,35.1566334,129.14506809999997,Jangsan-ro  Haeundae-gu  Busan,971889999
2197,random,individual,11326510,2016-11-22 00:00:00,3,혜림감정,2,149683.1,71.0,71.0,49.94,49.94,119000000,76160000,2017-07-28 00:00:00,2017-10-13 00:00:00,successful bid,Company or Group,백양그린 206 building. 14 floor. 1403 no.,Apartment,1992-07-31 00:00:00,15,14,N,,2017-12-13 00:00:00,dividend,35.1846011,128.9967645,Mora-ro 219beon-gil  Sasang-gu  Busan,93399999
2642,random,general,183581724,2016-12-13 00:00:00,2,신라감정,1,24405.0,32.98,32.98,84.91,84.91,288400000,230720000,2017-07-20 00:00:00,2017-11-02 00:00:00,successful bid,Company or Group,대연청구 109 building. 11 floor. 1102 no.,Apartment,2001-07-13 00:00:00,20,11,N,,2017-12-27 00:00:00,dividend,35.154179600000006,129.0890814,Motgol-ro  Nam-gu  Busan,256899000
1958,forced,general,45887671,2016-03-07 00:00:00,2,나라감정,1,774.0,45.18,45.18,84.96,84.96,170000000,136000000,2016-07-06 00:00:00,2016-08-03 00:00:00,successful bid,private,동조리젠시 7 floor. 703 no.,Apartment,2001-11-27 00:00:00,7,7,N,,2016-10-04 00:00:00,dividend,35.099629799999995,128.99887379999998,Kkachigogae-ro  Saha-gu  Busan,158660000
2238,forced,general,105437195,2017-01-03 00:00:00,2,한마음감정,1,8635.0,41.39,41.39,84.46,84.46,222000000,177600000,2017-07-07 00:00:00,2017-08-11 00:00:00,successful bid,Company or Group,한일유앤아이 101 building. 17 floor. 1701 no.,Apartment,2005-09-29 00:00:00,20,17,N,,2017-10-25 00:00:00,dividend,35.086933,129.0657062,Jungbok-gil  Yeongdo-gu  Busan,206989000
1923,random,general,137548730,2016-01-19 00:00:00,3,미래새한감정,2,7927.0,81.77,81.77,112.7,112.7,188000000,120320000,2016-06-28 00:00:00,2016-08-23 00:00:00,successful bid,Company or Group,도시 1 building. 6 floor. 603 no.,Apartment,1989-12-11 00:00:00,6,6,N,,2016-11-03 00:00:00,dividend,35.0840494,129.0702311,Taejong-ro  Yeongdo-gu  Busan,135500000
2527,random,general,506916971,2016-04-28 00:00:00,2,부일감정,1,331281.0,92.22,92.22,243.35,243.35,667000000,533600000,2016-08-22 00:00:00,2016-09-19 00:00:00,successful bid,Company or Group,",-60,-8 엘지메트로시티 130 building. 13 floor. 1302 no.",Apartment,2001-08-16 00:00:00,24,13,N,,2016-11-22 00:00:00,dividend,35.127807700000005,129.1122058,Igidaegongwon-ro  Nam-gu  Busan,640299999
2259,forced,general,40782876,2016-03-08 00:00:00,2,금정감정,1,1017.0,66.44,66.44,67.21,67.21,94000000,75200000,2016-06-24 00:00:00,2016-07-22 00:00:00,successful bid,Company or Group,한성 B building. 1 floor. 102 no.,Apartment,1981-12-28 00:00:00,3,1,N,,2016-09-27 00:00:00,dividend,35.0808174,129.0201555,Ami-ro  Seo-gu  Busan,77380000
2666,random,general,150000000,2017-03-27 00:00:00,2,연산감정,1,27447.2,78.52,78.52,84.92,84.92,163000000,130400000,2017-09-26 00:00:00,2017-10-31 00:00:00,successful bid,Company or Group,",-22,산55-18 코오롱 110 building. 4 floor. 406 no.",Apartment,1990-08-10 00:00:00,5,4,N,,2017-12-27 00:00:00,dividend,35.187903399999996,129.1309127,Haeun-daero 61beon-gil  Haeundae-gu  Busan,177070000
