Auction_key,Auction_seq,Regist_type,Regist_class,Regist_date,Creditor,Regist_price
1,10001,Registered building set,ownership transfer,20050715,Private,0
1,10002,Registered building set,provisional attachment,20050914,Public,860547945
1,10003,Registered building set,provisional attachment,20051229,Private,189800000
1,10004,Registered building set,provisional attachment,20060428,Private,1346000000
1,10005,Registered building set,injunction,20070410,Private,0
1,10006,Registered building set,injunction,20071130,Public,0
1,10007,Registered building set,compulsion,20080501,Public,0
1,10008,Registered building set,provisional attachment,20090622,Private,220000000
1,19992,Registered land separately,,99999999,Private,0
2,19992,Registered land separately,,99999999,Private,0
3,10001,Registered building set,ownership transfer,20050812,Private,0
3,10002,Registered building set,provisional attachment,20050914,Public,860547945
3,10003,Registered building set,provisional attachment,20051212,Private,155742300
3,10004,Registered building set,provisional attachment,20051229,Private,517624300
3,10005,Registered building set,provisional attachment,20060428,Private,1346000000
3,10006,Registered building set,injunction,20071130,Public,0
3,10007,Registered building set,compulsion,20080501,Public,0
3,10008,Registered building set,provisional attachment,20090622,Private,220000000
3,19992,Registered land separately,,99999999,Private,0
4,10001,Registered building set,compulsion,20120320,Private,0
4,10002,Registered building set,ownership transfer,20140820,Public,0
4,10003,Registered building set,injunction,20140923,Private,0
5,10001,Registered building set,ownership transfer,20020620,Private,0
5,10002,Registered building set,provisional attachment,20120307,Public,10404000
5,10003,Registered building set,random auction,20121129,Public,0
5,10004,Registered building set,real distress,20150813,Public,0
5,10005,Registered building set,mortgage,20020729,Public,35000000
5,10006,Registered building set,mortgage,20110930,Private,390000000
5,10007,Registered building set,the right of pledge,20151130,Public,390000000
6,10001,Registered building set,ownership transfer,20060530,Private,0
6,10002,Registered building set,random auction,20130110,Public,0
6,10003,Registered building set,provisional attachment,20130114,Public,62292790
6,10004,Registered building set,provisional attachment,20130314,Private,50000000
6,10005,Registered building set,provisional attachment,20130315,Private,50000000
6,10006,Registered building set,provisional attachment,20130322,Public,40000000
6,10007,Registered building set,real distress,20140915,Public,0
6,10008,Registered building set,real distress,20140916,Public,0
6,10009,Registered building set,real distress,20140916,Public,0
6,10010,Registered building set,real distress,20140916,Public,0
6,10011,Registered building set,real distress,20141013,Public,0
6,10012,Registered building set,real distress,20141015,Public,0
6,10013,Registered building set,real distress,20141023,Public,0
6,10014,Registered building set,real distress,20141203,Public,0
6,10015,Registered building set,real distress,20150529,Public,0
6,10016,Registered building set,real distress,20160112,Public,0
6,10017,Registered building set,provisional attachment,20160414,Public,36180584
6,10018,Registered building set,real distress,20160428,Public,0
6,10019,Registered building set,mortgage,20110331,Public,1014000000
6,10020,Registered building set,the right of pledge,20160127,Public,1014000000
6,10021,Registered building set,mortgage,20111124,Private,450000000
6,10022,Registered building set,mortgage,20111124,Private,300000000
6,10023,Registered building set,mortgage,20111124,Private,150000000
7,10001,Registered building set,ownership transfer,20050204,Private,0
7,10002,Registered building set,provisional attachment,20121206,Public,21000000
7,10003,Registered building set,random auction,20130128,Public,0
7,10004,Registered building set,real distress,20151116,Public,0
7,10005,Registered building set,mortgage,20110613,Public,585000000
8,10001,Registered building set,ownership transfer,20061115,Private,0
8,10002,Registered building set,real distress,20100316,Public,0
8,10003,Registered building set,real distress,20100909,Private,0
8,10004,Registered building set,provisional attachment,20120224,Public,10000000
8,10005,Registered building set,provisional attachment,20121115,Public,8666305
8,10006,Registered building set,random auction,20130621,Public,0
8,10007,Registered building set,mortgage,20061115,Public,130000000
9,10001,Registered building set,real distress,20130130,Public,0
9,10002,Registered building set,provisional attachment,20130321,Public,21313481
9,10003,Registered building set,provisional attachment,20130415,Public,7814549
9,10004,Registered building set,provisional attachment,20130426,Public,12090308
9,10005,Registered building set,provisional attachment,20130513,Public,7761920
9,10006,Registered building set,random auction,20130709,Public,0
9,10007,Registered building set,provisional attachment,20130911,Public,2664089
9,10008,Registered building set,provisional attachment,20130917,Public,2749159
9,10009,Registered building set,provisional attachment,20130923,Public,21738066
9,10010,Registered building set,ownership transfer,20140602,Private,0
9,10011,Registered building set,real distress,20150121,Public,0
9,10012,Registered building set,real distress,20150121,Public,0
9,10013,Registered building set,real distress,20151231,Public,0
9,10014,Registered building set,provisional attachment,20161025,Public,28038572
9,10015,Registered building set,provisional attachment,20161027,Public,6065680
9,10016,Registered building set,mortgage,20020415,Public,235200000
9,10017,Registered building set,mortgage,20070123,Public,60000000
9,10018,Registered building set,mortgage,20070222,Public,40665600
10,130001,Registered building set,ownership transfer,20131113,Public,0
10,130002,Registered building set,compulsion,20131113,Public,0
10,130003,Registered building set,real distress,20131219,Public,0
10,130004,Registered building set,compulsion,20131223,Public,0
10,130005,Registered building set,compulsion,20131224,Private,0
10,130006,Registered building set,compulsion,20140110,Private,0
10,130007,Registered building set,compulsion,20140121,Public,0
10,130008,Registered building set,provisional attachment,20140121,Public,35469805
10,130009,Registered building set,provisional attachment,20140211,Private,6000000000
10,130010,Registered building set,provisional attachment,20140214,Private,510000000
10,130011,Registered building set,provisional attachment,20140214,Private,490000000
10,130012,Registered building set,provisional attachment,20140522,Private,457248431
10,130013,Registered building set,provisional attachment,20140526,Public,1024811619
10,130014,Registered building set,provisional attachment,20140527,Public,4919843625
10,130015,Registered building set,real distress,20160923,Public,0
11,10001,Registered building set,random auction,20140120,Public,0
11,10002,Registered building set,ownership transfer,20140418,Private,0
11,10003,Registered building set,mortgage,20090507,Public,1000000000
12,10001,Registered building set,ownership transfer,20071101,Private,0
12,10002,Registered building set,provisional registration,20120727,Private,0
12,10003,Registered building set,compulsion,20140220,Private,0
13,10001,Registered building set,ownership transfer,20011227,Private,0
13,10002,Registered building set,random auction,20140331,Public,0
13,10003,Registered building set,real distress,20140923,Public,0
13,10004,Registered building set,real distress,20150402,Public,0
13,10005,Registered building set,mortgage,20101126,Public,728000000
13,10006,Registered building set,mortgage,20101130,Public,546000000
13,10007,Registered building set,mortgage,20121122,Private,400000000
13,10008,Registered building set,mortgage,20121122,Private,400000000
14,10001,Registered building set,ownership transfer,20090319,Private,0
14,10002,Registered building set,provisional registration,20090824,Private,0
14,10003,Registered building set,random auction,20140407,Public,0
14,10004,Registered building set,real distress,20150521,Public,0
14,10005,Registered building set,mortgage,20090319,Public,1430000000
14,10006,Registered building set,the right of pledge,20151023,Public,1430000000
14,10007,Registered building set,the right of pledge,20151214,Private,218000000
15,10001,Registered building set,ownership transfer,20091223,Private,0
15,10002,Registered building set,real distress,20131206,Public,0
15,10003,Registered building set,real distress,20140115,Public,0
15,10004,Registered building set,random auction,20140611,Public,0
15,10005,Registered building set,real distress,20140625,Public,0
15,10006,Registered building set,real distress,20150408,Public,0
15,10007,Registered building set,real distress,20150709,Public,0
15,10008,Registered building set,real distress,20151215,Public,0
15,10009,Registered building set,real distress,20151221,Public,0
15,10010,Registered building set,mortgage,20110712,Public,741000000
15,19992,Registered land separately,,99999999,Private,0
16,10001,Registered building set,ownership transfer,20030609,Private,0
16,10002,Registered building set,provisional attachment,20140311,Public,2087654263
16,10003,Registered building set,provisional attachment,20140403,Public,900000000
16,10004,Registered building set,provisional attachment,20140403,Public,30195652
16,10005,Registered building set,provisional attachment,20140403,Public,1716434448
16,10006,Registered building set,provisional attachment,20140415,Public,2643567605
16,10007,Registered building set,provisional attachment,20140416,Public,2035560000
16,10008,Registered building set,provisional attachment,20140421,Public,711614869
16,10009,Registered building set,provisional attachment,20140509,Public,570000000
16,10010,Registered building set,provisional attachment,20140519,Public,787369635
16,10011,Registered building set,random auction,20140626,Public,0
16,10012,Registered building set,provisional attachment,20140711,Public,1600000000
16,10013,Registered building set,real distress,20140903,Public,0
16,10014,Registered building set,random auction,20141112,Public,0
16,10015,Registered building set,preservative measure,20150107,Public,0
16,10016,Registered building set,mortgage,20030708,Public,840000000
16,10017,Registered building set,mortgage,20130426,Public,1200000000
16,10018,Registered building set,mortgage,20130712,Public,910000000
16,10019,Registered building set,mortgage,20140312,Public,1000000000
16,10020,Registered building set,injunction,20140603,Public,0
