Auctiuon_key,Rent_class,Purpose_use,Occupied_part,Rent_date,Rent_deposit,Rent_monthly_price
1,move in,residence,201No.all,2007-09-14 00:00:00,53000000,250000
2,move in,residence,room3,2008-06-27 00:00:00,60000000,0
2,occupation,residence,202No.,1111-11-11 00:00:00,0,0
3,occupation,residence,201No.,1111-11-11 00:00:00,0,0
3,move in,residence,201No.,2007-01-08 00:00:00,0,0
4,move in,residence,205No.,2014-09-15 00:00:00,0,0
4,occupation,residence,nan,1111-11-11 00:00:00,0,0
4,occupation,residence,nan,1111-11-11 00:00:00,0,0
7,move in,residence,room1,2010-12-06 00:00:00,50000000,0
8,move in,residence,1101No.all,2006-04-16 00:00:00,205000000,0
9,move in,residence,all,2012-07-18 00:00:00,240000000,0
10,move in,,nan,2011-05-23 00:00:00,0,0
10,occupation,residence,nan,1111-11-11 00:00:00,0,0
10,move in,,nan,2011-04-29 00:00:00,0,0
10,move in,residence,all,2011-04-20 00:00:00,280000000,0
10,move in,residence,nan,2013-08-21 00:00:00,0,0
10,move in,,nan,2011-03-15 00:00:00,0,0
10,move in,residence,nan,2013-11-13 00:00:00,0,0
10,move in,,nan,2011-06-20 00:00:00,0,0
10,move in,,nan,2011-05-13 00:00:00,0,0
10,move in,,nan,2011-04-22 00:00:00,0,0
10,move in,residence,nan,2013-09-04 00:00:00,0,0
10,move in,,nan,2011-10-31 00:00:00,0,0
10,move in,,nan,2011-04-07 00:00:00,0,0
10,move in,,nan,2011-07-04 00:00:00,0,0
10,occupation,residence,nan,1111-11-11 00:00:00,30000000,1200000
10,occupation,residence,nan,1111-11-11 00:00:00,0,0
10,move in,,nan,2011-07-01 00:00:00,0,0
10,move in,,nan,2011-04-26 00:00:00,0,0
10,move in,,nan,2011-08-22 00:00:00,0,0
10,move in,,nan,2011-08-10 00:00:00,0,0
10,move in,residence,704No.,2011-08-10 00:00:00,0,0
10,occupation,residence,nan,1111-11-11 00:00:00,0,0
10,move in,residence,nan,2011-04-14 00:00:00,0,0
10,move in,residence,all,2011-04-14 00:00:00,350000000,0
10,move in,,nan,2011-05-12 00:00:00,0,0
10,move in,,nan,2011-08-31 00:00:00,0,0
10,move in,,nan,2011-05-17 00:00:00,0,0
11,move in,residence,room2,2007-02-09 00:00:00,120000000,0
12,move in,residence,nan,2007-11-28 00:00:00,0,0
15,move in,residence,nan,2011-06-30 00:00:00,0,0
15,move in,residence,2202No.,2011-06-30 00:00:00,650000000,0
16,move in,residence,nan,2003-12-13 00:00:00,0,0
18,move in,residence,nan,2002-12-24 00:00:00,0,0
18,move in,residence,nan,2011-10-31 00:00:00,0,0
20,move in,residence,nan,2005-09-06 00:00:00,0,0
21,move in,residence,nan,2014-02-06 00:00:00,650000000,0
23,move in,residence,all,2010-10-08 00:00:00,800000000,0
25,move in,residence,all,2014-11-06 00:00:00,200000000,0
27,occupation,residence,nan,1111-11-11 00:00:00,0,0
30,move in,residence,2605No.,2000-12-19 00:00:00,0,0
30,move in,residence,partroom1,2015-01-07 00:00:00,30000000,0
31,move in,residence,502No.,2014-04-25 00:00:00,0,0
31,move in,residence,502No.,2013-06-27 00:00:00,0,0
31,move in,residence,502No.,2012-04-06 00:00:00,0,0
33,move in,residence,nan,2014-08-27 00:00:00,0,0
35,move in,residence,allroom2,2009-09-01 00:00:00,20000000,650000
36,move in,residence,nan,2004-01-17 00:00:00,0,0
39,move in,residence,nan,2008-11-04 00:00:00,0,0
40,move in,residence,901No.,2007-06-19 00:00:00,190000000,0
41,occupation,office,801No.,1111-11-11 00:00:00,0,0
41,move in,,nan,2014-10-13 00:00:00,0,0
43,move in,residence,nan,2015-05-04 00:00:00,0,0
45,move in,residence,all,2013-01-04 00:00:00,0,0
46,move in,residence,all,2014-02-26 00:00:00,50000000,2400000
49,move in,residence,all,2013-05-21 00:00:00,0,0
51,move in,residence,all,2011-02-24 00:00:00,460000000,0
54,move in,residence,all,2012-11-26 00:00:00,220000000,0
55,move in,residence,nan,2006-03-02 00:00:00,600000000,0
56,move in,residence,partroom1,2014-12-12 00:00:00,90000000,0
56,move in,residence,partroom1,2014-05-21 00:00:00,90000000,0
57,move in,residence,nan,1997-04-08 00:00:00,0,0
58,move in,residence,all,2008-12-31 00:00:00,190000000,0
59,move in,residence,101building202No.,2001-08-21 00:00:00,0,0
59,move in,residence,nan,2013-11-14 00:00:00,200000000,0
62,move in,residence,all,2014-07-25 00:00:00,420000000,0
63,move in,residence,1406No.,2010-08-19 00:00:00,0,0
64,move in,residence,all,2011-07-04 00:00:00,250000000,0
65,move in,residence,1405No.all,2013-10-15 00:00:00,400000000,0
67,move in,residence,1floor101No.,2014-01-24 00:00:00,600000000,0
67,move in,residence,nan,1991-08-23 00:00:00,0,0
70,occupation,residence,102No.,1111-11-11 00:00:00,10000000,500000
70,move in,residence,102No.,2008-04-04 00:00:00,0,0
70,move in,residence,102No.,2015-08-20 00:00:00,10000000,500000
71,move in,residence,partroom1,2015-02-12 00:00:00,100000000,0
