Auction_key,Auction_seq,Auction_date,Appraisal_price,Minimum_sales_price,Auction_results
1,1,2011-06-21 00:00:00,313000000,313000000,change
1,2,2011-12-13 00:00:00,313000000,313000000,change
1,3,2016-05-17 00:00:00,298000000,298000000,failure of auction
1,4,2016-06-21 00:00:00,298000000,238400000,failure of auction
1,5,2016-07-26 00:00:00,298000000,190720000,failure of auction
1,6,2016-09-06 00:00:00,298000000,152576000,failure of auction
1,7,2016-10-11 00:00:00,298000000,122061000,Winning bid
2,1,2011-06-21 00:00:00,253000000,253000000,change
2,2,2011-12-13 00:00:00,253000000,253000000,change
2,3,2016-05-17 00:00:00,244000000,244000000,failure of auction
2,4,2016-06-21 00:00:00,244000000,195200000,failure of auction
2,5,2016-07-26 00:00:00,244000000,156160000,failure of auction
2,6,2016-09-06 00:00:00,244000000,124928000,Winning bid
3,1,2011-06-21 00:00:00,106000000,106000000,change
3,2,2011-12-13 00:00:00,106000000,106000000,change
3,3,2016-05-17 00:00:00,101000000,101000000,failure of auction
3,4,2016-06-21 00:00:00,101000000,80800000,failure of auction
3,5,2016-07-26 00:00:00,101000000,64640000,failure of auction
3,6,2016-09-06 00:00:00,101000000,51712000,failure of auction
3,7,2016-10-11 00:00:00,101000000,41370000,Winning bid
4,1,2016-10-27 00:00:00,1600000000,1600000000,failure of auction
4,2,2016-11-30 00:00:00,1600000000,1280000000,failure of auction
4,4,2016-12-29 00:00:00,1600000000,1024000000,Winning bid
4,5,2017-03-07 00:00:00,1600000000,1024000000,dividend
5,1,2016-09-27 00:00:00,355000000,355000000,change
5,2,2016-11-01 00:00:00,355000000,355000000,change
5,3,2017-03-14 00:00:00,355000000,355000000,Winning bid
5,4,2017-05-25 00:00:00,355000000,355000000,dividend
6,1,2013-04-23 00:00:00,1000000000,1000000000,change
6,2,2014-10-07 00:00:00,1000000000,1000000000,failure of auction
6,3,2014-11-11 00:00:00,1000000000,800000000,failure of auction
6,4,2014-12-16 00:00:00,1000000000,640000000,change
6,5,2015-02-03 00:00:00,1000000000,640000000,Winning bid
6,6,2016-05-17 00:00:00,1000000000,640000000,Winning bid
6,7,2016-07-13 00:00:00,1000000000,640000000,dividend
7,1,2013-06-25 00:00:00,510000000,510000000,failure of auction
7,2,2013-07-30 00:00:00,510000000,408000000,change
7,3,2015-05-19 00:00:00,510000000,408000000,change
7,4,2016-02-23 00:00:00,510000000,408000000,change
7,5,2016-05-10 00:00:00,510000000,408000000,Winning bid
7,6,2016-07-19 00:00:00,510000000,408000000,dividend
8,1,2015-10-28 00:00:00,380000000,380000000,change
8,2,2016-07-06 00:00:00,380000000,380000000,Winning bid
8,3,2016-09-01 00:00:00,380000000,380000000,dividend
9,1,2017-02-07 00:00:00,570000000,570000000,Winning bid
9,2,2017-04-13 00:00:00,570000000,570000000,dividend
10,1,2016-04-26 00:00:00,27775000000,27775000000,change
10,2,2016-09-20 00:00:00,27775000000,27775000000,failure of auction
10,3,2016-10-25 00:00:00,27775000000,22220000000,failure of auction
10,4,2016-11-29 00:00:00,27775000000,17776000000,failure of auction
10,5,2016-12-28 00:00:00,27775000000,14220800000,Winning bid
10,6,2017-04-14 00:00:00,27775000000,14220800000,dividend
11,1,2014-10-16 00:00:00,440000000,440000000,failure of auction
11,2,2014-11-20 00:00:00,440000000,352000000,failure of auction
11,3,2014-12-31 00:00:00,440000000,281600000,Winning bid
11,4,2016-05-26 00:00:00,440000000,440000000,failure of auction
11,5,2016-06-30 00:00:00,440000000,352000000,change
11,6,2016-10-27 00:00:00,440000000,352000000,change
11,7,2016-12-29 00:00:00,440000000,352000000,change
11,8,2017-02-23 00:00:00,440000000,352000000,Winning bid
11,9,2017-05-16 00:00:00,440000000,352000000,dividend
12,1,2015-08-13 00:00:00,110000000,110000000,failure of auction
12,2,2015-09-17 00:00:00,110000000,88000000,failure of auction
12,3,2015-10-22 00:00:00,110000000,70400000,failure of auction
12,4,2015-11-26 00:00:00,110000000,56320000,failure of auction
12,5,2015-12-24 00:00:00,110000000,45056000,Winning bid
12,6,2016-03-03 00:00:00,110000000,45056000,failure of auction
12,7,2016-04-07 00:00:00,110000000,36045000,failure of auction
12,8,2016-05-19 00:00:00,110000000,28836000,Winning bid
12,9,2016-07-28 00:00:00,110000000,28836000,Winning bid
12,10,2016-10-20 00:00:00,110000000,28836000,failure of auction
12,11,2016-11-24 00:00:00,110000000,23069000,failure of auction
12,12,2016-12-22 00:00:00,110000000,18455000,failure of auction
12,13,2017-01-26 00:00:00,110000000,14764000,Winning bid
